"index","bottlecode","wvl","abs"
187,"1188-16",386,0.0478
188,"1188-16",387,0.0484
189,"1188-16",388,0.0481
190,"1188-16",389,0.048
191,"1188-16",390,0.0473
192,"1188-16",391,0.0474
193,"1188-16",392,0.0473
194,"1188-16",393,0.0468
195,"1188-16",394,0.0465
196,"1188-16",395,0.046
197,"1188-16",396,0.0462
198,"1188-16",397,0.046
199,"1188-16",398,0.0461
200,"1188-16",399,0.0458
201,"1188-16",400,0.0455
202,"1188-16",401,0.0451
203,"1188-16",402,0.0452
204,"1188-16",403,0.0443
205,"1188-16",404,0.0441
206,"1188-16",405,0.0439
207,"1188-16",406,0.0439
208,"1188-16",407,0.0434
209,"1188-16",408,0.043
210,"1188-16",409,0.0429
211,"1188-16",410,0.0424
212,"1188-16",411,0.0419
213,"1188-16",412,0.0416
214,"1188-16",413,0.0415
215,"1188-16",414,0.0412
216,"1188-16",415,0.0408
217,"1188-16",416,0.0421
218,"1188-16",417,0.0419
219,"1188-16",418,0.0417
220,"1188-16",419,0.0415
221,"1188-16",420,0.0413
222,"1188-16",421,0.0412
223,"1188-16",422,0.0411
224,"1188-16",423,0.0408
225,"1188-16",424,0.0406
226,"1188-16",425,0.0405
227,"1188-16",426,0.0401
228,"1188-16",427,0.0399
229,"1188-16",428,0.0396
230,"1188-16",429,0.0393
231,"1188-16",430,0.0391
232,"1188-16",431,0.0388
233,"1188-16",432,0.0385
234,"1188-16",433,0.0383
235,"1188-16",434,0.038
236,"1188-16",435,0.0378
237,"1188-16",436,0.0374
238,"1188-16",437,0.0372
239,"1188-16",438,0.0369
240,"1188-16",439,0.0365
241,"1188-16",440,0.0365
242,"1188-16",441,0.0363
243,"1188-16",442,0.0362
244,"1188-16",443,0.0358
245,"1188-16",444,0.0357
246,"1188-16",445,0.0353
247,"1188-16",446,0.0351
248,"1188-16",447,0.0349
249,"1188-16",448,0.0347
250,"1188-16",449,0.0345
251,"1188-16",450,0.0343
252,"1188-16",451,0.034
253,"1188-16",452,0.0338
254,"1188-16",453,0.0337
255,"1188-16",454,0.0335
256,"1188-16",455,0.0333
257,"1188-16",456,0.0332
258,"1188-16",457,0.0331
259,"1188-16",458,0.0331
260,"1188-16",459,0.0329
261,"1188-16",460,0.0328
262,"1188-16",461,0.0328
263,"1188-16",462,0.0328
264,"1188-16",463,0.0327
265,"1188-16",464,0.0328
266,"1188-16",465,0.0329
267,"1188-16",466,0.0328
268,"1188-16",467,0.0329
269,"1188-16",468,0.0329
270,"1188-16",469,0.0329
271,"1188-16",470,0.0328
272,"1188-16",471,0.0328
273,"1188-16",472,0.0327
274,"1188-16",473,0.0326
275,"1188-16",474,0.0324
276,"1188-16",475,0.0323
277,"1188-16",476,0.0322
278,"1188-16",477,0.0321
279,"1188-16",478,0.032
280,"1188-16",479,0.0319
281,"1188-16",480,0.0318
282,"1188-16",481,0.0317
283,"1188-16",482,0.0317
284,"1188-16",483,0.0316
285,"1188-16",484,0.0314
286,"1188-16",485,0.0314
287,"1188-16",486,0.0313
288,"1188-16",487,0.0312
289,"1188-16",488,0.0311
290,"1188-16",489,0.031
291,"1188-16",490,0.031
292,"1188-16",491,0.0308
293,"1188-16",492,0.0307
294,"1188-16",493,0.0306
295,"1188-16",494,0.0305
296,"1188-16",495,0.0304
297,"1188-16",496,0.0303
298,"1188-16",497,0.0301
299,"1188-16",498,0.03
300,"1188-16",499,0.0298
301,"1188-16",500,0.0296
302,"1188-16",501,0.0294
303,"1188-16",502,0.0291
304,"1188-16",503,0.0289
305,"1188-16",504,0.0288
306,"1188-16",505,0.0286
307,"1188-16",506,0.0285
308,"1188-16",507,0.0283
309,"1188-16",508,0.0282
310,"1188-16",509,0.0281
311,"1188-16",510,0.0282
312,"1188-16",511,0.0281
313,"1188-16",512,0.0282
314,"1188-16",513,0.0281
315,"1188-16",514,0.0279
316,"1188-16",515,0.0278
317,"1188-16",516,0.0277
318,"1188-16",517,0.0276
319,"1188-16",518,0.0277
320,"1188-16",519,0.0277
321,"1188-16",520,0.0277
322,"1188-16",521,0.0276
323,"1188-16",522,0.0276
324,"1188-16",523,0.0276
325,"1188-16",524,0.0276
326,"1188-16",525,0.0275
327,"1188-16",526,0.0275
328,"1188-16",527,0.0275
329,"1188-16",528,0.0275
330,"1188-16",529,0.0275
331,"1188-16",530,0.0275
332,"1188-16",531,0.0275
333,"1188-16",532,0.0275
334,"1188-16",533,0.0274
335,"1188-16",534,0.0273
336,"1188-16",535,0.0272
337,"1188-16",536,0.0271
338,"1188-16",537,0.0269
339,"1188-16",538,0.0268
340,"1188-16",539,0.0268
341,"1188-16",540,0.0268
342,"1188-16",541,0.0267
343,"1188-16",542,0.0266
344,"1188-16",543,0.0265
345,"1188-16",544,0.0264
346,"1188-16",545,0.0263
347,"1188-16",546,0.0262
348,"1188-16",547,0.026
349,"1188-16",548,0.0258
350,"1188-16",549,0.0257
351,"1188-16",550,0.0255
352,"1188-16",551,0.0254
353,"1188-16",552,0.0253
354,"1188-16",553,0.0252
355,"1188-16",554,0.0253
356,"1188-16",555,0.0253
357,"1188-16",556,0.0252
358,"1188-16",557,0.0242
359,"1188-16",558,0.024
360,"1188-16",559,0.024
361,"1188-16",560,0.024
362,"1188-16",561,0.024
363,"1188-16",562,0.0239
364,"1188-16",563,0.0239
365,"1188-16",564,0.0238
366,"1188-16",565,0.0236
367,"1188-16",566,0.0233
368,"1188-16",567,0.0231
369,"1188-16",568,0.023
370,"1188-16",569,0.023
371,"1188-16",570,0.0229
372,"1188-16",571,0.0229
373,"1188-16",572,0.0228
374,"1188-16",573,0.0228
375,"1188-16",574,0.0228
376,"1188-16",575,0.0227
377,"1188-16",576,0.0225
378,"1188-16",577,0.0224
379,"1188-16",578,0.0224
380,"1188-16",579,0.0223
381,"1188-16",580,0.0223
382,"1188-16",581,0.0222
383,"1188-16",582,0.0222
384,"1188-16",583,0.022
385,"1188-16",584,0.0219
386,"1188-16",585,0.0218
387,"1188-16",586,0.0217
388,"1188-16",587,0.0217
389,"1188-16",588,0.0216
390,"1188-16",589,0.0215
391,"1188-16",590,0.0213
392,"1188-16",591,0.0211
393,"1188-16",592,0.021
394,"1188-16",593,0.0209
395,"1188-16",594,0.0209
396,"1188-16",595,0.021
397,"1188-16",596,0.021
398,"1188-16",597,0.021
399,"1188-16",598,0.0209
400,"1188-16",599,0.0208
401,"1188-16",600,0.0207
402,"1188-16",601,0.0206
403,"1188-16",602,0.0206
404,"1188-16",603,0.0206
405,"1188-16",604,0.0207
406,"1188-16",605,0.0206
407,"1188-16",606,0.0206
408,"1188-16",607,0.0206
409,"1188-16",608,0.0206
410,"1188-16",609,0.0206
411,"1188-16",610,0.0207
412,"1188-16",611,0.0207
413,"1188-16",612,0.0207
414,"1188-16",613,0.0208
415,"1188-16",614,0.0208
416,"1188-16",615,0.0208
417,"1188-16",616,0.0208
418,"1188-16",617,0.0208
419,"1188-16",618,0.0207
420,"1188-16",619,0.0206
421,"1188-16",620,0.0206
422,"1188-16",621,0.0206
423,"1188-16",622,0.0206
424,"1188-16",623,0.0206
425,"1188-16",624,0.0207
426,"1188-16",625,0.0208
427,"1188-16",626,0.0208
428,"1188-16",627,0.0208
429,"1188-16",628,0.0208
430,"1188-16",629,0.0208
431,"1188-16",630,0.0208
432,"1188-16",631,0.0208
433,"1188-16",632,0.0208
434,"1188-16",633,0.0208
435,"1188-16",634,0.0207
436,"1188-16",635,0.0207
437,"1188-16",636,0.0207
438,"1188-16",637,0.0206
